Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2017010009504,2,3,2,2,47,8,3,0,0,0,4,0,11,1,5
2017010009506,2,1,1,2,30,6,3,0,0,0,0,0,9,1,6
2017010009508,1,1,1,1,31,6,3,0,0,0,0,0,9,1,7
2017010009509,2,1,1,1,50,8,3,0,0,0,0,0,9,1,8
2017010009510,1,1,1,1,27,6,3,0,0,0,0,0,19,1,2
2017010009510,2,2,1,1,50,8,3,0,0,0,0,0,19,1,1
2017010009514,1,1,3,1,74,10,2,5,1,0,0,2,0,1,7
2017010009518,1,1,1,2,39,7,2,0,0,0,0,0,1,1,7
2017010009525,1,1,1,1,32,6,3,0,0,0,0,0,3,1,2
2017010009536,2,1,1,1,22,5,3,0,0,0,0,0,1,1,10
2017010009549,1,1,2,2,84,11,3,0,0,0,1,0,11,1,2
2017010009555,2,1,1,2,65,9,3,0,0,0,0,0,9,1,7
2017010009562,2,1,1,2,45,7,3,0,0,0,0,0,9,1,10
2017010009568,1,1,3,2,40,7,2,4,9,0,0,2,0,1,2
2017010009583,1,1,1,2,44,7,3,0,0,0,0,0,9,1,4
2017010009583,1,2,2,2,15,3,3,0,0,1,0,0,9,1,4
2017010009583,1,3,2,1,19,4,3,0,0,2,0,0,9,1,4
2017010009584,1,1,2,2,88,11,3,0,0,0,4,0,11,-1,-1
2017010009587,1,1,3,2,36,7,3,5,2,0,0,2,0,1,2
2017010009588,1,1,2,2,54,8,3,0,0,0,4,0,11,1,5
2017010009590,2,1,1,1,32,6,3,0,0,0,0,0,1,1,1
2017010009591,2,1,1,1,21,5,3,0,0,0,0,0,3,1,2
2017010009592,1,1,3,2,51,8,2,7,9,0,0,2,0,1,2
2017010009593,2,1,1,1,59,9,2,0,0,0,0,0,1,1,5
2017010009594,1,1,1,2,60,9,3,0,0,0,0,0,9,1,4
2017010009595,1,1,1,1,44,7,3,0,0,0,0,0,9,1,4
2017010009595,2,2,1,1,23,5,3,0,0,0,0,0,9,1,3
2017010009596,1,1,1,2,32,6,3,0,0,0,0,0,9,1,4
2017010009596,1,2,2,2,4,1,3,0,0,2,0,0,9,1,4
2017010009597,1,1,1,2,36,7,3,0,0,0,0,0,9,1,4
2017010009597,1,2,2,2,5,1,3,0,0,2,0,0,9,-1,-1
2017010009598,1,1,1,1,31,6,3,0,0,0,0,0,4,1,3
2017010009599,1,1,3,2,51,8,2,1,3,0,0,2,0,-1,-1
2017010009600,1,1,1,1,36,7,3,0,0,0,0,0,3,-1,-1
2017010009601,1,1,1,1,18,4,3,0,0,0,0,0,9,1,5
2017010009601,1,2,2,2,36,7,3,0,0,1,0,0,9,1,5
2017010009603,1,1,1,2,18,4,3,0,0,0,0,0,9,1,5
2017010009605,1,1,2,1,3,1,3,0,0,0,3,0,11,1,8
2017010009606,2,1,1,2,63,9,3,0,0,0,0,0,9,1,4
2017010009607,1,1,3,2,44,7,3,5,9,0,0,2,0,1,2
2017010009608,1,1,1,2,27,6,3,0,0,0,0,0,3,1,8
2017010009609,1,1,1,2,34,6,3,0,0,0,0,0,9,1,4
2017010009609,2,2,1,2,29,6,3,0,0,0,0,0,9,1,9
2017010009610,3,1,1,1,29,6,3,0,0,0,0,0,9,1,7
2017010009611,1,1,1,1,35,6,3,0,0,0,0,0,5,1,10
2017010009612,1,1,1,2,27,6,3,0,0,0,0,0,2,1,3
2017010009615,1,1,2,2,55,8,3,0,0,1,0,0,9,-1,-1
2017010009616,1,1,1,1,34,6,3,0,0,0,0,0,9,1,5
2017010009617,1,1,1,1,31,6,3,0,0,0,0,0,9,1,2
2017010009622,1,1,1,1,20,4,2,0,0,0,0,0,3,1,2
2017010009632,2,1,1,2,52,8,3,0,0,0,0,0,9,1,7
2017010009649,1,1,1,1,43,7,3,0,0,0,0,0,3,1,6
2017010009652,2,1,1,2,37,7,3,0,0,0,0,0,9,1,10
2017010009656,1,1,1,1,34,6,3,0,0,0,0,0,4,1,2
2017010009664,2,1,1,1,33,6,2,0,0,0,0,0,4,1,4
2017010009671,1,1,3,2,5,1,3,1,2,0,0,2,0,1,1
2017010009673,1,1,1,1,42,7,3,0,0,0,0,0,3,1,2
2017010009675,1,1,3,2,26,6,3,5,1,0,0,2,0,1,6
2017010009679,1,1,1,1,35,6,3,0,0,0,0,0,3,1,5
2017010009694,2,1,1,2,30,6,3,0,0,0,0,0,1,1,2
2017010009696,1,1,3,2,65,9,3,10,9,0,0,2,0,1,2
2017010009701,1,1,1,1,27,6,3,0,0,0,0,0,9,1,2
2017010009705,1,1,1,2,61,9,3,0,0,0,0,0,9,1,5
2017010009705,2,2,1,2,24,5,3,0,0,0,0,0,9,-1,-1
2017010009707,2,1,2,2,65,9,3,0,0,1,0,0,9,1,2
2017010009708,2,1,1,1,23,5,3,0,0,0,0,0,1,1,4
2017010009712,1,1,3,1,17,4,3,5,1,0,0,2,0,1,2
2017010009718,2,1,2,2,17,4,3,0,0,2,0,0,9,1,8
2017010009722,2,1,1,2,29,6,2,0,0,0,0,0,1,1,8
2017010009724,2,1,1,1,47,8,3,0,0,0,0,0,3,-1,-1
2017010009725,1,1,2,2,58,9,3,0,0,0,4,0,11,1,5
2017010009732,1,1,3,2,19,4,3,5,3,0,0,2,0,1,3
2017010009736,1,1,3,1,32,6,2,5,4,0,0,2,0,1,4
2017010009738,1,1,1,1,66,10,3,0,0,0,0,0,9,1,8
2017010009741,1,1,1,1,55,8,3,0,0,0,0,0,9,1,10
2017010009761,1,1,3,2,86,11,3,6,9,0,0,2,0,1,9
2017010009764,1,1,1,1,51,8,3,0,0,0,0,0,4,1,8
2017010009765,2,1,1,1,18,4,3,0,0,0,0,0,3,1,3
2017010009766,1,1,3,1,22,5,3,1,2,0,0,2,0,1,2
2017010009767,1,1,3,2,13,3,3,1,1,0,0,2,0,1,2
