Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
201401BS70124,1,1,1,1,-1,-1,3,0,0,0,0,0,9,-1
201401BS70124,1,2,2,1,-1,-1,3,0,0,1,0,0,9,-1
201401BS70124,2,3,1,1,41,7,3,0,0,0,0,0,9,1
201401BS70126,2,1,1,1,41,7,3,0,0,0,0,0,1,1
201401BS70127,2,1,1,2,35,6,3,0,0,0,0,0,1,-1
201401BS70128,1,1,1,2,48,8,3,0,0,0,0,0,9,1
201401BS70129,2,1,1,1,26,6,3,0,0,0,0,0,2,1
201401BS70130,1,1,1,1,29,6,3,0,0,0,0,0,9,1
201401BS70133,1,1,3,2,22,5,3,4,1,0,0,2,0,1
201401BS70134,2,1,1,1,21,5,3,0,0,0,0,0,3,1
201401BS70136,2,1,1,1,49,8,3,0,0,0,0,0,5,1
201401BS70137,1,1,3,1,28,6,3,5,1,0,0,2,0,1
201401BS70138,3,1,1,1,25,5,3,0,0,0,0,0,3,1
201401BS70139,2,1,1,1,36,7,3,0,0,0,0,0,8,1
201401BS70140,1,1,1,1,49,8,3,0,0,0,0,0,1,1
201401BS70141,1,1,1,2,43,7,2,0,0,0,0,0,1,1
201401BS70142,2,1,1,1,28,6,3,0,0,0,0,0,3,1
201401BS70143,2,1,2,2,29,6,3,0,0,0,0,0,5,1
201401BS70144,1,1,1,2,42,7,3,0,0,0,0,0,9,1
201401BS70145,1,1,1,1,35,6,2,0,0,0,0,0,1,1
201401BS70146,2,1,1,1,22,5,3,0,0,0,0,0,5,1
201401BS70147,1,1,1,1,21,5,3,0,0,0,0,0,3,1
201401BS70148,1,1,1,1,36,7,3,0,0,0,0,0,19,-1
201401BS70148,2,2,1,1,76,11,3,0,0,0,0,0,9,1
201401BS70149,1,1,1,2,48,8,3,0,0,0,0,0,9,1
201401BS70150,1,1,3,2,12,3,3,1,1,0,0,2,0,1
201401BS70152,1,1,1,1,28,6,3,0,0,0,0,0,2,1
201401BS70153,1,1,3,2,60,9,3,9,6,0,0,2,0,1
201401BS70155,1,1,1,1,37,7,3,0,0,0,0,0,1,-1
201401BS70156,2,1,1,2,47,8,3,0,0,0,0,0,1,1
201401BS70157,1,1,1,1,26,6,3,0,0,0,0,0,3,1
201401BS70159,1,1,2,2,94,11,3,0,0,0,2,0,11,1
201401BS70160,1,1,3,1,67,10,3,5,1,0,0,2,0,1
201401BS70161,2,1,1,1,45,7,3,0,0,0,0,0,19,1
201401BS70162,1,1,1,1,33,6,3,0,0,0,0,0,9,1
201401BS70163,2,1,1,2,23,5,3,0,0,0,0,0,1,1
201401BS70164,1,1,1,1,15,3,3,0,0,0,0,0,9,1
201401BS70164,1,2,3,1,78,11,3,9,9,0,0,2,0,1
201401BS70165,1,1,2,2,2,1,3,0,0,0,4,0,11,1
201401BS70166,1,1,2,2,59,9,3,0,0,0,3,0,11,1
201401BS70167,2,1,1,1,27,6,2,0,0,0,0,0,3,1
201401BS70168,1,1,1,2,34,6,3,0,0,0,0,0,1,1
201401BS70171,1,1,3,2,41,7,3,5,3,0,0,2,0,-1
201401BS70172,2,1,1,1,20,4,3,0,0,0,0,0,3,1
201401BS70172,2,2,2,2,22,5,3,0,0,0,0,0,3,1
201401BS70173,1,1,3,1,21,5,3,2,1,0,0,2,0,-1
201401BS70174,1,1,3,2,25,5,3,1,1,0,0,2,0,1
201401BS70175,1,1,3,2,57,9,3,4,1,0,0,2,0,1
201401BS70176,2,1,1,1,26,6,3,0,0,0,0,0,3,1
201401BS70177,1,1,3,2,46,8,3,8,7,0,0,2,0,1
201401BS70178,1,1,3,1,66,10,3,5,3,0,0,2,0,-1
201401BS70179,2,1,1,1,32,6,3,0,0,0,0,0,9,1
201401BS70180,1,1,1,1,39,7,3,0,0,0,0,0,5,1
201401BS70181,1,1,3,2,55,8,3,5,3,0,0,2,0,1
201401BS70182,1,1,3,2,13,3,2,5,3,0,0,2,0,1
201401BS70183,1,1,3,1,12,3,3,4,1,0,0,2,0,1
201401BS70185,1,1,3,2,71,10,3,4,2,0,0,2,0,1
201401BS70186,1,1,1,1,50,8,3,0,0,0,0,0,19,1
201401BS70186,1,2,2,1,54,8,2,0,0,0,0,0,19,1
201401BS70186,1,3,2,2,86,11,2,0,0,0,0,0,19,1
201401BS70187,1,1,3,1,42,7,3,5,3,0,0,2,0,1
201401BS70187,1,2,3,2,26,6,3,5,3,0,0,2,0,1
201401BS70188,1,1,1,1,32,6,3,0,0,0,0,0,2,1
201401BS70189,1,1,1,1,38,7,3,0,0,0,0,0,10,1
201401BS70190,1,1,2,2,46,8,2,0,0,0,3,0,11,1
201401BS70191,2,1,1,1,43,7,3,0,0,0,0,0,1,1
201401BS70192,2,1,1,2,45,7,3,0,0,0,0,0,1,1
201401BS70193,1,1,1,1,56,9,3,0,0,0,0,0,1,1
201401BS70194,2,1,1,1,35,6,3,0,0,0,0,0,1,1
201401BS70195,2,1,1,1,34,6,3,0,0,0,0,0,1,1
201401BS70196,1,1,1,1,39,7,3,0,0,0,0,0,1,1
201401BS70198,1,1,3,1,68,10,3,1,1,0,0,2,0,1
201401BS70201,1,1,1,2,29,6,3,0,0,0,0,0,1,1
201401BS70202,2,1,1,1,25,5,3,0,0,0,0,0,1,1
201401BS70203,1,1,2,1,60,9,3,0,0,0,4,0,11,-1
201401BS70204,1,1,3,2,19,4,3,4,1,0,0,2,0,-1
201401BS70205,1,1,1,2,43,7,3,0,0,0,0,0,9,1
201401BS70205,2,2,2,2,83,11,3,0,0,1,0,0,9,1
201401BS70207,1,1,3,1,13,3,3,4,1,0,0,2,0,1
201401BS70208,2,1,1,1,83,11,3,0,0,0,0,0,1,1
201401BS70210,1,1,1,1,47,8,3,0,0,0,0,0,5,1
201401BS70214,1,1,3,1,43,7,3,5,1,0,0,2,0,1
201401BS70215,2,1,1,1,52,8,3,0,0,0,0,0,1,1
201401BS70217,1,1,1,1,56,9,3,0,0,0,0,0,1,-1
201401BS70218,1,1,1,1,43,7,3,0,0,0,0,0,1,1
201401BS70219,1,1,1,1,40,7,3,0,0,0,0,0,1,1
201401BS70220,1,1,1,1,51,8,3,0,0,0,0,0,5,1
201401BS70221,2,1,1,2,31,6,3,0,0,0,0,0,9,1
201401BS70222,2,1,1,2,31,6,3,0,0,0,0,0,9,1
201401BS70223,2,1,1,1,42,7,2,0,0,0,0,0,1,-1
201401BS70225,1,1,1,2,27,6,3,0,0,0,0,0,9,1
201401BS70226,2,1,1,2,65,9,3,0,0,0,0,0,1,-1
201401BS70227,1,1,3,2,22,5,3,4,1,0,0,2,0,-1
201401BS70228,1,1,1,1,27,6,3,0,0,0,0,0,21,-1
201401BS70228,1,2,2,1,28,6,3,0,0,0,0,0,21,1
201401BS70229,2,1,1,2,36,7,3,0,0,0,0,0,1,-1
201401BS70231,1,1,1,1,31,6,3,0,0,0,0,0,3,1
201401BS70232,2,1,1,2,28,6,3,0,0,0,0,0,1,1
201401BS70233,2,1,1,1,45,7,3,0,0,0,0,0,1,1
201401BS70234,2,1,1,1,43,7,3,0,0,0,0,0,1,-1
201401BS70236,1,1,1,1,48,8,3,0,0,0,0,0,1,1
201401BS70238,1,1,1,1,34,6,3,0,0,0,0,0,3,1
201401BS70239,2,1,1,1,19,4,2,0,0,0,0,0,3,1
201401BS70240,1,1,1,1,38,7,3,0,0,0,0,0,5,1
201401BS70241,2,1,1,1,49,8,2,0,0,0,0,0,1,1
201401BS70243,2,1,1,1,30,6,3,0,0,0,0,0,9,1
201401BS70244,2,1,1,1,35,6,3,0,0,0,0,0,3,1
201401BS70245,1,1,1,1,49,8,3,0,0,0,0,0,90,1
201401BS70246,1,1,3,2,29,6,3,1,1,0,0,2,0,1
201401BS70247,1,1,1,1,27,6,3,0,0,0,0,0,1,1
201401BS70248,1,1,3,2,49,8,3,5,1,0,0,2,0,1
201401BS70249,1,1,3,2,47,8,3,4,1,0,0,2,0,3
201401BS70250,1,1,3,2,2,1,2,1,3,0,0,2,0,1
201401BS70252,1,1,1,1,37,7,3,0,0,0,0,0,1,1
201401BS70253,2,1,1,1,26,6,3,0,0,0,0,0,1,1
201401BS70254,1,1,1,1,25,5,3,0,0,0,0,0,3,1
201401BS70256,1,1,1,2,30,6,3,0,0,0,0,0,9,1
201401BS70257,1,1,3,1,43,7,3,5,1,0,0,2,0,1
201401BS70259,1,1,2,1,4,1,2,0,0,0,2,0,11,1
201401BS70261,2,1,1,1,69,10,2,0,0,0,0,0,1,-1
201401BS70262,1,1,1,1,22,5,3,0,0,0,0,0,5,1
