Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
201734WD09247,2,9,0,18,0,0,0,0,0,0,4,1,1,1,52,8,-1,-1,-1,7,3,7
201734WD09247,3,9,0,18,0,0,0,0,0,0,3,1,1,1,24,5,1229,1,7,9,3,9
201734WD09247,4,9,0,18,0,0,0,0,0,0,3,1,6,1,52,8,1968,2,1,1,1,1
201734WD09317,1,9,0,17,0,0,0,0,7,9,1,1,6,2,50,8,1968,2,5,10,2,10
201734WD09387,1,9,0,17,0,0,0,0,2,0,1,1,6,1,22,5,1229,1,5,8,2,8
201734WD09507,1,9,0,18,0,0,0,0,0,0,1,1,1,1,46,8,1461,2,7,7,1,7
201734WD09507,2,11,0,2,0,0,0,0,0,0,2,1,1,1,57,9,3900,2,11,9,1,9
201734WD09517,1,1,0,18,0,8,0,0,0,0,1,1,6,1,35,6,-1,-1,-1,3,1,3
201734WD09517,2,9,0,9,0,8,0,0,0,0,1,1,6,1,20,4,998,1,4,3,1,3
201734WD09717,1,9,0,18,0,8,0,0,0,0,1,1,6,2,41,7,1398,2,9,4,1,4
201734WD09717,2,9,0,18,0,8,0,0,0,0,1,1,6,2,23,5,1248,2,-1,-1,-1,-1
201734WD09807,1,9,0,18,0,7,0,0,0,0,1,1,2,2,36,7,1461,2,6,9,1,9
201734WD09807,2,9,0,18,0,8,0,0,0,0,1,1,6,1,39,7,2148,2,8,3,1,3
201734WD09827,1,21,1,9,0,8,0,0,0,0,1,2,1,1,24,5,-1,-1,-1,-1,-1,-1
201734WD09827,2,9,0,18,0,8,0,0,0,0,3,1,6,1,20,4,1242,1,7,2,1,2
201734WD09837,1,9,0,7,0,8,0,0,0,0,1,1,6,1,-1,-1,1299,1,14,-1,-1,-1
201734WD09927,1,9,0,11,0,0,2,0,1,0,4,1,6,1,50,8,1124,1,13,-1,-1,-1
